City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,qui nhon,13.7667,109.2333,24.52,88,98,2.34,VN,1699394389
256,krumovgrad,41.4667,25.65,15.02,96,42,2.31,BG,1699394617
257,fale old settlement,-9.3852,-171.2468,29.05,71,93,6.38,TK,1699394618
258,guerrero negro,27.9769,-114.0611,22.8,64,0,7.93,MX,1699394618
259,midelt,32.6852,-4.7451,7.49,59,2,2.86,MA,1699394618
260,at taj,24.2049,23.2857,20.82,23,0,4.28,LY,1699394618
261,hovd,48.0056,91.6419,-7.7,66,1,0.61,MN,1699394619
262,la tuque,47.4334,-72.7824,1.14,80,100,4.63,CA,1699394619
263,xiva,41.3783,60.3639,11.99,49,100,2.65,UZ,1699394619
264,aracaju,-10.9111,-37.0717,26.97,74,20,4.12,BR,1699394620
265,conde,-7.2597,-34.9075,26.7,78,20,4.12,BR,1699394620
266,jyvaskyla,62.2415,25.7209,2.19,100,100,0.51,FI,1699394620
267,vejen,55.4833,9.15,9.27,93,90,5.14,DK,1699394620
268,vallenar,-28.5708,-70.7581,29.25,18,0,2.65,CL,1699394620
269,akropong,5.9746,-0.0854,25.53,88,80,1.73,GH,1699394620
270,fort st. john,56.2499,-120.8529,-0.06,93,100,10.29,CA,1699394373
271,weno,7.4515,151.8468,27.5,81,100,4.91,FM,1699394621
272,tual,-5.6667,132.75,27.2,78,51,3.99,ID,1699394621
273,gadzhiyevo,69.2551,33.3362,0.86,77,100,6.58,RU,1699394622
274,udachny,66.4167,112.4,-22.43,100,91,1.15,RU,1699394622
275,ulladulla,-35.35,150.4667,21.54,77,88,2.27,AU,1699394622
276,madalena,41.2162,-8.3345,12.32,91,100,1.36,PT,1699394622
277,kongolo,-5.3833,27.0,22.13,89,59,0.18,CD,1699394623
278,huarmey,-10.0681,-78.1522,21.08,74,39,5.48,PE,1699394623
279,moab,38.5733,-109.5498,23.12,16,57,0.89,US,1699394422
280,vilyuysk,63.7553,121.6247,-28.13,100,50,1.0,RU,1699394623
281,flying fish cove,-10.4217,105.6791,24.82,88,75,1.54,CX,1699394623
282,ulsteinvik,62.3432,5.8487,8.2,87,99,1.34,NO,1699394624
283,volodarskiy,46.4013,48.5409,8.97,64,1,6.55,RU,1699394624
284,mahibadhoo,3.7833,72.9667,26.65,78,100,1.62,MV,1699394625
285,kone,-21.0595,164.8658,25.68,50,6,2.46,NC,1699394625
286,rio grande,-32.035,-52.0986,25.06,79,0,6.84,BR,1699394625
287,tilcara,-23.5776,-65.3509,17.67,56,64,4.39,AR,1699394626
288,koungou,-12.7336,45.2042,27.84,74,0,3.6,YT,1699394626
289,phek,25.6667,94.5,7.21,99,17,0.62,IN,1699394626
290,coxim,-18.5067,-54.76,36.95,23,100,1.0,BR,1699394626
291,zawiya,32.7522,12.7278,26.58,27,10,3.96,LY,1699394626
292,al muwayh,22.4333,41.7583,23.47,51,75,6.3,SA,1699394627
293,cherepovets,59.1333,37.9,5.9,93,100,3.0,RU,1699394332
294,saint-louis,16.3333,-15.0,27.8,25,99,4.08,SN,1699394546
295,touros,-5.1989,-35.4608,26.1,75,100,6.01,BR,1699394627
296,rocha,-34.4833,-54.3333,22.86,81,76,3.96,UY,1699394628
297,karasu,41.071,30.7854,18.22,71,50,1.35,TR,1699394378
298,kapuskasing,49.4169,-82.4331,-1.95,64,75,3.6,CA,1699394421
299,flin flon,54.7682,-101.865,-1.09,93,100,3.6,CA,1699394629
300,socorro,31.6546,-106.3033,31.13,18,0,6.69,US,1699394447
301,pedernales,18.0384,-71.744,28.47,72,17,0.32,DO,1699394629
302,kinel',53.2333,50.65,7.58,97,100,2.02,RU,1699394629
303,posto fiscal rolim de moura,-13.0833,-62.2667,33.96,38,100,1.83,BR,1699394629
304,bathurst,-33.4166,149.5806,18.87,59,93,0.89,AU,1699394459
305,rawson,-43.3002,-65.1023,19.83,30,79,9.45,AR,1699394533
306,sidney,-33.8679,151.2073,22.41,71,40,4.12,AU,1699394499
307,carahue,-38.7,-73.1667,12.5,73,56,2.95,CL,1699394630
308,pithampur,22.602,75.6965,19.78,60,40,0.0,IN,1699394630
309,levuka,50.1834,-105.4011,-0.1,100,100,1.88,CA,1699394630
310,vidyayevo,69.3191,32.8049,0.08,79,100,5.04,RU,1699394631
311,naze,28.3667,129.4833,19.51,64,98,6.42,JP,1699394427
312,broome,42.2506,-75.833,11.41,75,100,4.63,US,1699394631
313,port hedland,-20.3167,118.5667,23.03,46,28,0.0,AU,1699394443
314,nyurba,63.2842,118.3319,-26.24,100,94,1.6,RU,1699394632
315,norfolk,42.1668,-71.2495,17.79,69,75,2.06,US,1699394630
316,ciudad bolivar,8.1222,-63.5497,31.76,53,96,1.53,VE,1699394632
317,inhambane,-23.865,35.3833,24.1,88,99,3.61,MZ,1699394632
318,chonchi,-42.6128,-73.8092,11.56,80,100,2.23,CL,1699394541
319,mouila,-1.8685,11.0559,23.82,98,100,0.3,GA,1699394633
320,mount isa,-20.7333,139.5,26.87,61,3,2.57,AU,1699394463
321,sao gabriel da cachoeira,-0.1303,-67.0892,24.65,95,99,0.28,BR,1699394634
322,parelhas,-6.6878,-36.6575,28.05,49,59,11.19,BR,1699394634
323,bodo,67.28,14.405,2.19,88,0,4.63,NO,1699394635
324,saryozek,44.3583,77.9753,5.86,33,86,1.11,KZ,1699394635
325,icano,-28.9193,-65.3282,39.63,19,1,3.21,AR,1699394635
326,yeniseysk,58.4497,92.1703,-16.14,98,78,0.89,RU,1699394636
327,san fernando de apure,7.8878,-67.4724,27.79,74,100,0.85,VE,1699394636
328,n'zeto,-7.2312,12.8666,25.74,88,31,2.62,AO,1699394636
329,portland,45.5234,-122.6762,15.09,76,75,3.6,US,1699394621
330,slave lake,55.2834,-114.769,-0.01,100,100,1.03,CA,1699394608
331,pollenca,39.8768,3.0163,11.09,59,0,4.73,ES,1699394637
332,teknaf,20.8624,92.3058,21.06,74,92,3.3,BD,1699394637
333,dampit,-8.2116,112.7493,21.25,94,58,1.12,ID,1699394637
334,degerfors,59.238,14.4308,3.83,93,100,0.44,SE,1699394637
335,tofol,5.3248,163.0078,30.88,74,75,2.57,FM,1699394638
336,banyo,6.75,11.8167,20.98,73,85,1.41,CM,1699394638
337,queenstown,-31.8976,26.8753,12.41,80,93,2.13,ZA,1699394639
338,tshabong,-26.05,22.45,20.63,19,0,3.75,BW,1699394639
339,kalmunai,7.4167,81.8167,25.98,85,99,1.43,LK,1699394639
340,dakhla,23.6848,-15.958,21.01,68,0,11.83,EH,1699394640
341,kolonia,50.9333,6.95,9.38,86,75,4.12,DE,1699394640
342,zaozersk,69.4005,32.4476,-0.42,79,100,4.56,RU,1699394641
343,pedregal,8.3667,-82.4333,29.05,82,40,3.58,PA,1699394642
344,mangrol,21.1167,70.1167,26.61,66,49,0.54,IN,1699394643
345,zarand,30.8127,56.564,13.27,53,0,1.22,IR,1699394643
346,fazilka,30.4,74.0333,20.5,34,4,1.52,IN,1699394644
347,sao francisco,-15.9486,-44.8644,28.14,44,58,2.27,BR,1699394645
348,regina,50.4501,-104.6178,0.06,90,100,2.57,CA,1699394401
349,guigang,23.0964,109.6092,20.19,83,98,1.26,CN,1699394648
350,lufilufi,-13.8745,-171.5986,29.88,85,100,7.06,WS,1699394649
351,castillos,-34.1667,-53.8333,19.47,88,74,4.39,UY,1699394650
352,vila velha,-20.3297,-40.2925,23.97,71,75,5.14,BR,1699394443
353,gagarin,55.5529,34.9954,7.29,88,99,5.41,RU,1699394651
354,gounou gaya,9.6294,15.5132,27.5,24,62,1.68,TD,1699394652
355,kangding,30.0513,101.9603,5.94,53,61,1.66,CN,1699394652
356,san carlos del zulia,9.0,-71.9135,28.56,78,34,3.02,VE,1699394653
357,jinghong,21.991,100.7341,18.37,98,88,0.41,CN,1699394653
358,dzhetygara,52.1908,61.2006,2.15,56,84,3.56,KZ,1699394654
359,mersa matruh,31.3525,27.2453,23.11,73,40,2.06,EG,1699394655
360,urzhar,47.093,81.6294,4.61,32,18,2.2,KZ,1699394655
361,aktobe,50.2797,57.2072,5.05,87,75,4.0,KZ,1699394656
362,polyarnyy,69.1989,33.4478,0.45,80,100,5.99,RU,1699394657
